"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 01 16:13:08 UTC 2025","Tue Jul 01 16:13:08 UTC 2025","46","tests","test_posts","","","","test_get_post_by_id",""
"passed","Tue Jul 01 16:13:13 UTC 2025","Tue Jul 01 16:13:14 UTC 2025","248","tests","test_posts","","","","Create Parameterized Post",""
"passed","Tue Jul 01 16:13:14 UTC 2025","Tue Jul 01 16:13:14 UTC 2025","251","tests","test_posts","","","","Create Parameterized Post",""
"passed","Tue Jul 01 16:13:13 UTC 2025","Tue Jul 01 16:13:13 UTC 2025","239","tests","test_posts","","","","Create Parameterized Post",""
"skipped","Tue Jul 01 16:13:12 UTC 2025","Tue Jul 01 16:13:12 UTC 2025","239","tests","test_posts","","","","test_create_post_with_empty_payload",""
"passed","Tue Jul 01 16:13:10 UTC 2025","Tue Jul 01 16:13:11 UTC 2025","78","tests","test_posts","","","","test_authorization_in_header",""
"skipped","Tue Jul 01 16:13:11 UTC 2025","Tue Jul 01 16:13:12 UTC 2025","657","tests","test_posts","","","","test_update_post_with_invalid_id",""
"passed","Tue Jul 01 16:13:13 UTC 2025","Tue Jul 01 16:13:13 UTC 2025","273","tests","test_posts","","","","Create Parameterized Post",""
"passed","Tue Jul 01 16:13:12 UTC 2025","Tue Jul 01 16:13:13 UTC 2025","652","tests","test_posts","","","","Test: Crete a Post from YAML",""
"passed","Tue Jul 01 16:13:09 UTC 2025","Tue Jul 01 16:13:10 UTC 2025","691","tests","test_posts","","","","test_update_post",""
"passed","Tue Jul 01 16:13:14 UTC 2025","Tue Jul 01 16:13:14 UTC 2025","265","tests","test_posts","","","","Create Parameterized Post",""
"passed","Tue Jul 01 16:13:08 UTC 2025","Tue Jul 01 16:13:08 UTC 2025","189","tests","test_posts","","","","test_get_all_posts",""
"passed","Tue Jul 01 16:13:08 UTC 2025","Tue Jul 01 16:13:09 UTC 2025","733","tests","test_posts","","","","test_create_post",""
"skipped","Tue Jul 01 16:13:11 UTC 2025","Tue Jul 01 16:13:11 UTC 2025","647","tests","test_posts","","","","test_create_post_missing_title",""
"passed","Tue Jul 01 16:13:10 UTC 2025","Tue Jul 01 16:13:10 UTC 2025","39","tests","test_posts","","","","test_post_schema_validation",""
"passed","Tue Jul 01 16:13:10 UTC 2025","Tue Jul 01 16:13:10 UTC 2025","650","tests","test_posts","","","","test_delete_post",""
